"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Olah","BL2428","Homozygous - Viable"
"Ccl9","BL1469","Homozygous - Viable"
"Ccdc120","JR18591","Homozygous - Viable"
"Sorbs2","JR22780","Homozygous - Viable"
"Carf","JR24516","Homozygous - Viable"
"Tatdn3","MEKD","Homozygous - Viable"
"Syt16","MFJL","Homozygous - Viable"
"Zfp42","JR23023","Homozygous - Viable"
"Rbmx","MEJH","Homozygous - Viable"
"Cdk4","TCPA0701Cre","Homozygous - Subviable"
"Tulp3","H-TULP3-B01-TM1B","Homozygous - Lethal"
"Fus","UCD-11866A-C7-1-1","Homozygous - Lethal"
"Rbsn","MDTY","Homozygous - Lethal"
"Myrfl","MDXJ","Homozygous - Viable"
"Tctex1d2","MFYD","Homozygous - Viable"
"A830005F24Rik","ET8308","Homozygous - Viable"
"Lama4","BL3706","Homozygous - Viable"
"Casp4","BL3518","Homozygous - Viable"
"Cd84","JR24040","Homozygous - Viable"
"Cp","JR21485","Homozygous - Viable"
"Usp21","MECN","Homozygous - Viable"
"Dapk1","H-Dapk1-B11-TM1B","Homozygous - Viable"
"Mmp8","JR22092","Homozygous - Viable"
"Pdpn","H-PDPN-A10-TM1B","Homozygous - Subviable"
"Srsf7","MFJE","Homozygous - Lethal"
"Orc3","MDJJ","Homozygous - Lethal"
"Zfp719","MUAW","Homozygous - Viable"
"Pik3c2a","TCPA0120Cre","Homozygous - Lethal"
"4930449E01Rik","MFCS","Homozygous - Viable"
"Acvr2a","BL3450","Homozygous - Subviable"
"Pfn4","BL3135","Homozygous - Viable"
"Hacl1","ET7986","Homozygous - Viable"
"Kctd15","IP00005100a","Homozygous - Lethal"
"Otub1","IP00005148a","Homozygous - Lethal"
"Glp1r","H-GLP1R-F05-TM1B","Homozygous - Viable"
"Pxdc1","TCPA0002Cre","Homozygous - Viable"
"Ahsg","BL3485","Homozygous - Viable"
"Baz1a","TCPM0219Cre","Homozygous - Viable"
"Stra6l","ET7870","Homozygous - Viable"
"Samd9l","BL2311","Homozygous - Viable"
"Tm4sf4","BL2273","Homozygous - Viable"
"Otub1","H-Otub1-A05-TM1B","Homozygous - Lethal"
"Izumo1r","RIKEN-EPD0094_3_F07","Homozygous - Viable"
"Pop4","MEQK","Homozygous - Lethal"
"4930591A17Rik","MFCL","Homozygous - Viable"
"Setd5","MEFW","Homozygous - Lethal"
"Ccdc159","MEZZ","Homozygous - Viable"
"Vps72","MFUE","Homozygous - Lethal"
"Hacl1","MDRQ","Homozygous - Viable"
"Cpsf3","MEHJ","Homozygous - Lethal"
"Trim29","MEJT","Homozygous - Viable"
"Nxn","JR24233","Homozygous - Lethal"
"Ndufa8","GSF-HEPD0509_8_C03-1-1","Homozygous - Lethal"
"Rfc1","JR23072","Homozygous - Lethal"
"Npc2","TCPM0216Cre","Homozygous - Viable"
"Mmp16","H-MMP16-A10-TM1B","Homozygous - Viable"
"Adh5","H-Adh5-G04-TM1B","Homozygous - Viable"
"Gbf1","MDRZ","Homozygous - Lethal"
"Adar","JR22334","Homozygous - Lethal"
"Gnb5","JR24058","Homozygous - Subviable"
"Htr1a","JR18617","Homozygous - Viable"
"Slc45a3","BL2223","Homozygous - Viable"
"Gpsm1","BL3679","Homozygous - Viable"
"Btnl1","TCPA0169Cre","Homozygous - Viable"
"Kng2","MCYF","Homozygous - Viable"
"Tspan18","JR21483","Homozygous - Viable"
"Pfn1","MAOH","Homozygous - Lethal"
"Kcnc2","BL3533","Homozygous - Viable"
"Coro1a","BL3641","Homozygous - Viable"
"Recql4","BL3801","Homozygous - Lethal"
"Rab36","JR23664","Homozygous - Viable"
"Polr2h","JR23306","Homozygous - Lethal"
"Hfe2","JR24947","Homozygous - Viable"
"Brms1","JR24348","Homozygous - Subviable"
"Raf1","IP00005473a","Homozygous - Lethal"
"Nol8","ICS-HEPD0531_3_B10-1","Homozygous - Lethal"
"Slit1","H-SLIT1-H12-TM1B","Homozygous - Viable"
"Ucp1","HMGU-HEPD0676_4_E07-1-1","Homozygous - Viable"
"Btbd9","HMGU-EPD0631_3_A09-1-1","Homozygous - Viable"
"Pthlh","MFMW","Homozygous - Lethal"
"Klk9","MEUJ","Homozygous - Viable"
"Exoc3l2","MEKM","Homozygous - Viable"
"Acsl5","BL3214","Homozygous - Viable"
"Mcam","BL2151","Homozygous - Viable"
"Srd5a3","JR24184","Homozygous - Lethal"
"Pycr1","JR23667","Homozygous - Viable"
"Exosc3","BL4029","Homozygous - Subviable"
"Nudt14","BL2301","Homozygous - Viable"
"Slc8a3","JR24409","Homozygous - Viable"
"Rsph9","UCD-15851A-C9-2-1","Homozygous - Subviable"
"Ube2j1","RIKEN-N02070P1_C_236W_B6","Homozygous - Viable"
"Rln3","RIKEN-DEPD00503_4_A06","Homozygous - Viable"
"3110035E14Rik","TCPA0050Cre","Homozygous - Viable"
"Natd1","MUBX","Homozygous - Viable"
"1700042B14Rik","MECS","Homozygous - Viable"
"Sh2d5","MEMX","Homozygous - Viable"
"Gpnmb","JR18554","Homozygous - Viable"
"Gpsm3","ET8221","Homozygous - Viable"
"Oas1g","ET7898","Homozygous - Lethal"
"Nampt","BL3798","Homozygous - Lethal"
"Unc119b","BL3750","Homozygous - Viable"
"Pfkfb4","MERN","Homozygous - Viable"
"4930402H24Rik","TCPA0563Cre","Homozygous - Viable"
"Knstrn","IP00004891a","Homozygous - Viable"
"Tcp11","MFMT","Homozygous - Viable"
"Epb4.1l4a","PH21753","Homozygous - Viable"
"P3h3","BL1321","Homozygous - Viable"
"Ang6","BL3843","Homozygous - Viable"
"Klhl8","BL1842","Homozygous - Viable"
"Rab5a","JR22387","Homozygous - Viable"
"Slfn1","BL3630","Homozygous - Subviable"
"Arvcf","MDEY","Homozygous - Viable"
"Gldc","MDSB","Homozygous - Lethal"
"Gprc5b","MDYT","Homozygous - Viable"
"Ube2c","JR22817","Homozygous - Lethal"
"Nrcam","JR18645","Homozygous - Viable"
"Otoa","BL2531","Homozygous - Viable"
"Abo","BL2425","Homozygous - Viable"
"Cyp3a11","MEGZ","Homozygous - Viable"
"Dbndd2","TCPM0203Cre","Homozygous - Viable"
"Arhgef28","H-ARHGEF28-D06-TM1B","Homozygous - Viable"
"Ppap2b","H-PPAP2b-D11-TM1B","Homozygous - Lethal"
"Tcaim","H-TCAIM-B11-TM1B","Homozygous - Viable"
"Smyd5","MEBR","Homozygous - Viable"
"Dmxl2","MDTX","Homozygous - Lethal"
"Usp3","H-USP3-A11-TM1B","Homozygous - Subviable"
"Reg2","ET3612","Homozygous - Viable"
"Panx2","BL3283","Homozygous - Viable"
"Dph2","MDKG","Homozygous - Lethal"
"Tmem126a","MEJS","Homozygous - Viable"
"Medag","MUDW","Homozygous - Viable"
"Wnt10a","BL2529","Homozygous - Viable"
"Popdc3","BL2949","Homozygous - Viable"
"Ino80b","BL3001","Homozygous - Lethal"
"Nphp1","BL3586","Homozygous - Viable"
"Rasa3","JR23423","Homozygous - Lethal"
"Tmem136","JR18629","Homozygous - Viable"
"Dnase1l2","JR21508","Homozygous - Viable"
"Cyp20a1","MEPM","Homozygous - Viable"
"Entpd1","GSF-EPD0156_1_B01-1-1","Homozygous - Viable"
"Mcf2l","MFPT","Homozygous - Viable"
"Spop","TCPA0016Cre","Homozygous - Lethal"
"Fabp1","H-Fabp1-A05-TM1B","Homozygous - Viable"
"Katnb1","H-KATNB1-B09-TM1B","Homozygous - Lethal"
"Asb10","JR18660","Homozygous - Viable"
"Angptl4","H-ANGPTL4-E04-TM1B","Homozygous - Viable"
"Mybphl","MUAF","Homozygous - Subviable"
"Jmjd1c","MDGL","Homozygous - Subviable"
"Asb15","BL2461","Homozygous - Viable"
"Slc52a2","UCD-13532A-D11-1-1","Homozygous - Lethal"
"Ahcy","TCPA0663Cre","Homozygous - Lethal"
"Man2b2","MUAJ","Homozygous - Viable"
"Spopl","MEAL","Homozygous - Viable"
"Entpd6","MFBZ","Homozygous - Viable"
"Mxra7","H-Mxra7-G06-TM1B","Homozygous - Viable"
"Nat1","JR23599","Homozygous - Viable"
"Rnf10","H-RNF10-A10-TM1B","Homozygous - Viable"
"Gnpda1","TCPM0189Cre","Homozygous - Lethal"
"Arl10","BL1672","Homozygous - Viable"
"Rasd1","BL3486","Homozygous - Viable"
"Frmd7","MDZG","Homozygous - Viable"
"Dnmt3a","MFCH","Homozygous - Viable"
"Bzw2","JR18653","Homozygous - Viable"
"Irf8","JR18655","Homozygous - Viable"
"Casq2","BL3707","Homozygous - Lethal"
"Arl8b","TCPA0758Cre","Homozygous - Subviable"
"Rsf1","TCPM0719Cre","Homozygous - Lethal"
