include_mode	cohort	organism	year	snapshot_id	phenotype_file	viability_file	gaf_file	go_obo_file	phenotype_ontology_file	phenotype_release	go_annotation_release	go_ontology_release	phenotype_ontology_release	label_source	nonlethal_policy	mixed_label_policy	ambiguous_label_policy	retrieval_date	notes
required	primary	fish	2015	fish-2015	data/fish/phenotype_data/zfin/2015/phenoGeneCleanData.txt.gz		data/fish/gene_association/go_archive/2015/zfin.gaf.gz	data/go/2015/go-basic_2015-01-01.obo.gz		ZFIN phenotype 2015	GO release 2015-01-01	GO basic 2015-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2016	fish-2016	data/fish/phenotype_data/zfin/2016/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2016/zfin.gaf.gz	data/go/2016/go-basic_2016-01-01.obo.gz		ZFIN phenotype 2016	GO release 2016-01-01	GO basic 2016-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2017	fish-2017	data/fish/phenotype_data/zfin/2017/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2017/zfin.gaf.gz	data/go/2017/go-basic_2017-01-01.obo.gz		ZFIN phenotype 2017	GO release 2017-01-01	GO basic 2017-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2018	fish-2018	data/fish/phenotype_data/zfin/2018/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2018/zfin.gaf.gz	data/go/2018/go-basic_2018-01-01.obo.gz		ZFIN phenotype 2018	GO release 2018-01-01	GO basic 2018-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2019	fish-2019	data/fish/phenotype_data/zfin/2019/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2019/zfin.gaf.gz	data/go/2019/go-basic_2019-01-01.obo.gz		ZFIN phenotype 2019	GO release 2019-01-01	GO basic 2019-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2020	fish-2020	data/fish/phenotype_data/zfin/2020/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2020/zfin.gaf.gz	data/go/2020/go-basic_2020-01-01.obo.gz		ZFIN phenotype 2020	GO release 2020-01-01	GO basic 2020-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2021	fish-2021	data/fish/phenotype_data/zfin/2021/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2021/zfin.gaf.gz	data/go/2021/go-basic_2021-01-01.obo.gz		ZFIN phenotype 2021	GO release 2021-01-01	GO basic 2021-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2022	fish-2022	data/fish/phenotype_data/zfin/2022/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2022/zfin.gaf.gz	data/go/2022/go-basic_2022-01-13.obo.gz		ZFIN phenotype 2022	GO release 2022-01-01	GO basic 2022-01-13		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2023	fish-2023	data/fish/phenotype_data/zfin/2023/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2023/zfin.gaf.gz	data/go/2023/go-basic_2023-01-01.obo.gz		ZFIN phenotype 2023	GO release 2023-01-01	GO basic 2023-01-01		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fish	2024	fish-2024	data/fish/phenotype_data/zfin/2024/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2024/zfin.gaf.gz	data/go/2024/go-basic_2024-01-17.obo.gz		ZFIN phenotype 2024	GO release 2024-01-01	GO basic 2024-01-17		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
