data_status	track	organism	dataset	year	n_genes	n_features	gaf_annotation_rows	positive_rate	density	previous_year_gene_jaccard
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2010	2010	5400	4510	83700	0.1800	0.0034	
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2011	2011	5673	4711	92469	0.1927	0.0035	0.9555411357075855
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2012	2012	5894	4852	100787	0.1980	0.0035	0.9482161636789521
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2013	2013	6026	4954	107865	0.1929	0.0036	0.9517251964199447
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2014	2014	6067	5045	113452	0.1804	0.0037	0.9571579545887717
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2015	2015	6048	5157	117936	0.1676	0.0038	0.9486540690418075
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2016	2016	6021	5315	122226	0.1620	0.0038	0.950581580093364
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2017	2017	6040	5538	127444	0.1668	0.0038	0.9588316570281872
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2018	2018	6143	5827	134531	0.1792	0.0038	0.9493190632899334
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2019	2019	6339	6171	143895	0.1921	0.0037	0.9496264735052515
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2020	2020	6602	6546	155147	0.1980	0.0036	0.9594712561398729
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2021	2021	6882	6921	167232	0.1935	0.0035	0.9501978365589321
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2022	2022	7123	7268	178787	0.1812	0.0035	0.9488789931204622
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2023	2023	7284	7560	188655	0.1682	0.0034	0.9577847521198884
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2024	2024	7351	7786	196271	0.1621	0.0034	0.9512728001958497
synthetic_mock_not_results	fixed_2025_is_a	fish	fish-2025	2025	7345	7948	201987	0.1663	0.0035	0.9483540997639798
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2010	2010	10518	5267	180909	0.2551	0.0033	
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2011	2011	10684	5366	192312	0.2576	0.0034	0.9482161636789521
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2012	2012	10757	5458	202231	0.2499	0.0034	0.9517251964199447
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2013	2013	10754	5574	210778	0.2365	0.0035	0.9571579545887717
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2014	2014	10723	5740	218749	0.2251	0.0036	0.9486540690418075
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2015	2015	10719	5971	227242	0.2223	0.0036	0.950581580093364
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2016	2016	10790	6268	237380	0.2298	0.0035	0.9588316570281872
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2017	2017	10954	6617	249751	0.2432	0.0034	0.9493190632899334
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2018	2018	11197	6994	264249	0.2547	0.0034	0.9496264735052515
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2019	2019	11478	7368	280063	0.2578	0.0033	0.9594712561398729
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2020	2020	11739	7708	295822	0.2505	0.0033	0.9501978365589321
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2021	2021	11932	7993	310232	0.2372	0.0033	0.9488789931204622
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2022	2022	12032	8210	322457	0.2255	0.0033	0.9577847521198884
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2023	2023	12048	8364	332524	0.2222	0.0033	0.9512728001958497
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2024	2024	12020	8473	341368	0.2292	0.0034	0.9483540997639798
synthetic_mock_not_results	fixed_2025_is_a	fly	fly-2025	2025	12002	8564	350458	0.2424	0.0034	0.9561425863012861
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2010	2010	7436	5770	140540	0.3264	0.0033	
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2011	2011	7456	5892	146883	0.3164	0.0033	0.9517251964199447
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2012	2012	7429	6066	152294	0.3027	0.0034	0.9571579545887717
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2013	2013	7409	6306	157811	0.2932	0.0034	0.9486540690418075
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2014	2014	7449	6610	164622	0.2935	0.0033	0.950581580093364
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2015	2015	7579	6965	173559	0.3033	0.0033	0.9588316570281872
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2016	2016	7798	7343	184812	0.3170	0.0032	0.9493190632899334
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2017	2017	8071	7714	197739	0.3266	0.0032	0.9496264735052515
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2018	2018	8346	8048	211153	0.3267	0.0031	0.9594712561398729
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2019	2019	8567	8324	223598	0.3171	0.0031	0.9501978365589321
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2020	2020	8702	8533	234083	0.3034	0.0032	0.9488789931204622
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2021	2021	8745	8680	242236	0.2935	0.0032	0.9577847521198884
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2022	2022	8727	8785	248719	0.2932	0.0032	0.9512728001958497
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2023	2023	8699	8876	254880	0.3026	0.0033	0.9483540997639798
