data_status	track	organism	timepoint	snapshot_id	strict_snapshot	genes	lethal	viable	go_features	label_source	go_relations	go_evidence_exclude
synthetic_mock_not_results	primary	fish	2015	fish-2015-primary	True	6048	1013	5035	5157	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2016	fish-2016-primary	True	6021	975	5046	5315	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2017	fish-2017-primary	True	6040	1007	5033	5538	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2018	fish-2018-primary	True	6143	1100	5043	5827	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2019	fish-2019-primary	True	6339	1217	5122	6171	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2020	fish-2020-primary	True	6602	1307	5295	6546	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2021	fish-2021-primary	True	6882	1331	5551	6921	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2022	fish-2022-primary	True	7123	1290	5833	7268	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2023	fish-2023-primary	True	7284	1225	6059	7560	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2024	fish-2024-primary	True	7351	1191	6160	7786	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fish	2025	fish-2025-primary	True	7345	1221	6124	7948	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2015	fly-2015-primary	True	10719	2383	8336	5971	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2016	fly-2016-primary	True	10790	2479	8311	6268	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2017	fly-2017-primary	True	10954	2663	8291	6617	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2018	fly-2018-primary	True	11197	2852	8345	6994	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2019	fly-2019-primary	True	11478	2958	8520	7368	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2020	fly-2020-primary	True	11739	2940	8799	7708	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2021	fly-2021-primary	True	11932	2830	9102	7993	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2022	fly-2022-primary	True	12032	2713	9319	8210	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2023	fly-2023-primary	True	12048	2676	9372	8364	release_records	is_a;part_of	
synthetic_mock_not_results	primary	fly	2024	fly-2024-primary	True	12020	2754	9266	8473	release_records	is_a;part_of	
