data_status	track	organism	year	go_id	go_name	odds_ratio	fdr	minus_log10_fdr	lethal_gene_count
synthetic_mock_not_results	primary	worm	2015	GO:0007049	cell cycle	1.8400	0.0631	1.2000	20
synthetic_mock_not_results	primary	worm	2016	GO:0007049	cell cycle	2.4066	0.0098	2.0094	26
synthetic_mock_not_results	primary	worm	2017	GO:0007049	cell cycle	2.7941	0.0027	2.5630	29
synthetic_mock_not_results	primary	worm	2018	GO:0007049	cell cycle	2.8798	0.0021	2.6855	30
synthetic_mock_not_results	primary	worm	2019	GO:0007049	cell cycle	2.6368	0.0046	2.3383	28
synthetic_mock_not_results	primary	worm	2020	GO:0007049	cell cycle	2.1419	0.0234	1.6312	23
synthetic_mock_not_results	primary	worm	2021	GO:0007049	cell cycle	1.5514	0.1630	0.7878	17
synthetic_mock_not_results	primary	worm	2022	GO:0007049	cell cycle	1.0523	0.8421	0.0747	12
synthetic_mock_not_results	primary	worm	2023	GO:0007049	cell cycle	1.0000	1.0000	0.0000	12
synthetic_mock_not_results	primary	worm	2024	GO:0007049	cell cycle	1.0000	1.0000	0.0000	12
synthetic_mock_not_results	primary	worm	2025	GO:0007049	cell cycle	1.2618	0.4227	0.3740	14
synthetic_mock_not_results	primary	worm	2015	GO:0006281	DNA repair	2.6148	0.0049	2.3069	29
synthetic_mock_not_results	primary	worm	2016	GO:0006281	DNA repair	2.8747	0.0021	2.6782	31
synthetic_mock_not_results	primary	worm	2017	GO:0006281	DNA repair	2.8074	0.0026	2.5821	31
synthetic_mock_not_results	primary	worm	2018	GO:0006281	DNA repair	2.4343	0.0089	2.0489	27
synthetic_mock_not_results	primary	worm	2019	GO:0006281	DNA repair	1.8732	0.0566	1.2474	21
synthetic_mock_not_results	primary	worm	2020	GO:0006281	DNA repair	1.3016	0.3708	0.4308	16
synthetic_mock_not_results	primary	worm	2021	GO:0006281	DNA repair	1.0000	1.0000	0.0000	13
synthetic_mock_not_results	primary	worm	2022	GO:0006281	DNA repair	1.0000	1.0000	0.0000	13
synthetic_mock_not_results	primary	worm	2023	GO:0006281	DNA repair	1.0220	0.9303	0.0314	13
synthetic_mock_not_results	primary	worm	2024	GO:0006281	DNA repair	1.5065	0.1890	0.7236	18
synthetic_mock_not_results	primary	worm	2025	GO:0006281	DNA repair	2.0965	0.0271	1.5665	23
synthetic_mock_not_results	primary	worm	2015	GO:0006412	translation	2.8858	0.0020	2.6940	32
synthetic_mock_not_results	primary	worm	2016	GO:0006412	translation	2.6700	0.0041	2.3857	30
synthetic_mock_not_results	primary	worm	2017	GO:0006412	translation	2.1917	0.0198	1.7025	25
synthetic_mock_not_results	primary	worm	2018	GO:0006412	translation	1.6023	0.1379	0.8604	20
synthetic_mock_not_results	primary	worm	2019	GO:0006412	translation	1.0879	0.7488	0.1256	14
synthetic_mock_not_results	primary	worm	2020	GO:0006412	translation	1.0000	1.0000	0.0000	14
synthetic_mock_not_results	primary	worm	2021	GO:0006412	translation	1.0000	1.0000	0.0000	14
synthetic_mock_not_results	primary	worm	2022	GO:0006412	translation	1.2187	0.4870	0.3124	16
synthetic_mock_not_results	primary	worm	2023	GO:0006412	translation	1.7737	0.0785	1.1053	21
