data_status	organism	year	track	model_consensus_average_precision	between_model_sd
synthetic_mock_not_results	fish	2015	primary	0.6674	0.0429
synthetic_mock_not_results	fish	2015	fixed_2025	0.6535	0.0356
synthetic_mock_not_results	fish	2015	is_a_only	0.6594	0.0429
synthetic_mock_not_results	fish	2015	fixed_2025_is_a	0.6480	0.0369
synthetic_mock_not_results	fish	2016	primary	0.6819	0.0347
synthetic_mock_not_results	fish	2016	fixed_2025	0.6600	0.0323
synthetic_mock_not_results	fish	2016	is_a_only	0.6739	0.0347
synthetic_mock_not_results	fish	2016	fixed_2025_is_a	0.6560	0.0327
synthetic_mock_not_results	fish	2017	primary	0.6767	0.0283
synthetic_mock_not_results	fish	2017	fixed_2025	0.6577	0.0290
synthetic_mock_not_results	fish	2017	is_a_only	0.6687	0.0283
synthetic_mock_not_results	fish	2017	fixed_2025_is_a	0.6532	0.0287
synthetic_mock_not_results	fish	2018	primary	0.6893	0.0266
synthetic_mock_not_results	fish	2018	fixed_2025	0.6476	0.0270
synthetic_mock_not_results	fish	2018	is_a_only	0.6813	0.0266
synthetic_mock_not_results	fish	2018	fixed_2025_is_a	0.6409	0.0265
synthetic_mock_not_results	fish	2019	primary	0.6260	0.0249
synthetic_mock_not_results	fish	2019	fixed_2025	0.6349	0.0264
synthetic_mock_not_results	fish	2019	is_a_only	0.6180	0.0249
synthetic_mock_not_results	fish	2019	fixed_2025_is_a	0.6252	0.0258
synthetic_mock_not_results	fish	2020	primary	0.6056	0.0250
synthetic_mock_not_results	fish	2020	fixed_2025	0.6257	0.0277
synthetic_mock_not_results	fish	2020	is_a_only	0.5976	0.0250
synthetic_mock_not_results	fish	2020	fixed_2025_is_a	0.6141	0.0272
synthetic_mock_not_results	fish	2021	primary	0.6384	0.0327
synthetic_mock_not_results	fish	2021	fixed_2025	0.6247	0.0313
synthetic_mock_not_results	fish	2021	is_a_only	0.6304	0.0327
synthetic_mock_not_results	fish	2021	fixed_2025_is_a	0.6128	0.0315
synthetic_mock_not_results	fish	2022	primary	0.6204	0.0424
synthetic_mock_not_results	fish	2022	fixed_2025	0.6324	0.0352
synthetic_mock_not_results	fish	2022	is_a_only	0.6124	0.0424
synthetic_mock_not_results	fish	2022	fixed_2025_is_a	0.6222	0.0364
synthetic_mock_not_results	fish	2023	primary	0.6483	0.0458
synthetic_mock_not_results	fish	2023	fixed_2025	0.6449	0.0367
synthetic_mock_not_results	fish	2023	is_a_only	0.6403	0.0458
synthetic_mock_not_results	fish	2023	fixed_2025_is_a	0.6375	0.0382
synthetic_mock_not_results	fish	2024	primary	0.7081	0.0409
synthetic_mock_not_results	fish	2024	fixed_2025	0.6561	0.0349
synthetic_mock_not_results	fish	2024	is_a_only	0.7001	0.0409
synthetic_mock_not_results	fish	2024	fixed_2025_is_a	0.6512	0.0359
synthetic_mock_not_results	fish	2025	primary	0.6825	0.0324
synthetic_mock_not_results	fish	2025	fixed_2025	0.6603	0.0313
synthetic_mock_not_results	fish	2025	is_a_only	0.6745	0.0324
synthetic_mock_not_results	fish	2025	fixed_2025_is_a	0.6564	0.0315
synthetic_mock_not_results	fly	2015	primary	0.7425	0.0326
synthetic_mock_not_results	fly	2015	fixed_2025	0.7203	0.0314
synthetic_mock_not_results	fly	2015	is_a_only	0.7345	0.0326
synthetic_mock_not_results	fly	2015	fixed_2025_is_a	0.7164	0.0316
synthetic_mock_not_results	fly	2016	primary	0.7324	0.0275
synthetic_mock_not_results	fly	2016	fixed_2025	0.7158	0.0283
synthetic_mock_not_results	fly	2016	is_a_only	0.7244	0.0275
synthetic_mock_not_results	fly	2016	fixed_2025_is_a	0.7108	0.0280
synthetic_mock_not_results	fly	2017	primary	0.7073	0.0263
synthetic_mock_not_results	fly	2017	fixed_2025	0.7045	0.0267
synthetic_mock_not_results	fly	2017	is_a_only	0.6993	0.0263
synthetic_mock_not_results	fly	2017	fixed_2025_is_a	0.6970	0.0262
synthetic_mock_not_results	fly	2018	primary	0.7146	0.0245
synthetic_mock_not_results	fly	2018	fixed_2025	0.6920	0.0265
synthetic_mock_not_results	fly	2018	is_a_only	0.7066	0.0245
synthetic_mock_not_results	fly	2018	fixed_2025_is_a	0.6818	0.0259
synthetic_mock_not_results	fly	2019	primary	0.6631	0.0262
synthetic_mock_not_results	fly	2019	fixed_2025	0.6846	0.0284
synthetic_mock_not_results	fly	2019	is_a_only	0.6551	0.0262
synthetic_mock_not_results	fly	2019	fixed_2025_is_a	0.6727	0.0280
synthetic_mock_not_results	fly	2020	primary	0.6660	0.0354
synthetic_mock_not_results	fly	2020	fixed_2025	0.6859	0.0324
synthetic_mock_not_results	fly	2020	is_a_only	0.6580	0.0354
synthetic_mock_not_results	fly	2020	fixed_2025_is_a	0.6743	0.0329
synthetic_mock_not_results	fly	2021	primary	0.7219	0.0440
synthetic_mock_not_results	fly	2021	fixed_2025	0.6953	0.0359
synthetic_mock_not_results	fly	2021	is_a_only	0.7139	0.0440
synthetic_mock_not_results	fly	2021	fixed_2025_is_a	0.6858	0.0372
synthetic_mock_not_results	fly	2022	primary	0.7153	0.0453
synthetic_mock_not_results	fly	2022	fixed_2025	0.7081	0.0365
synthetic_mock_not_results	fly	2022	is_a_only	0.7073	0.0453
synthetic_mock_not_results	fly	2022	fixed_2025_is_a	0.7014	0.0380
synthetic_mock_not_results	fly	2023	primary	0.7372	0.0389
synthetic_mock_not_results	fly	2023	fixed_2025	0.7179	0.0341
synthetic_mock_not_results	fly	2023	is_a_only	0.7292	0.0389
synthetic_mock_not_results	fly	2023	fixed_2025_is_a	0.7134	0.0349
synthetic_mock_not_results	fly	2024	primary	0.7767	0.0306
synthetic_mock_not_results	fly	2024	fixed_2025	0.7200	0.0304
synthetic_mock_not_results	fly	2024	is_a_only	0.7687	0.0306
synthetic_mock_not_results	fly	2024	fixed_2025_is_a	0.7159	0.0304
synthetic_mock_not_results	fly	2025	primary	0.7266	0.0271
synthetic_mock_not_results	fly	2025	fixed_2025	0.7132	0.0277
synthetic_mock_not_results	fly	2025	is_a_only	0.7186	0.0271
synthetic_mock_not_results	fly	2025	fixed_2025_is_a	0.7076	0.0274
synthetic_mock_not_results	mouse	2015	primary	0.7671	0.0271
synthetic_mock_not_results	mouse	2015	fixed_2025	0.7534	0.0278
synthetic_mock_not_results	mouse	2015	is_a_only	0.7591	0.0271
synthetic_mock_not_results	mouse	2015	fixed_2025_is_a	0.7479	0.0274
synthetic_mock_not_results	mouse	2016	primary	0.7400	0.0259
synthetic_mock_not_results	mouse	2016	fixed_2025	0.7412	0.0265
synthetic_mock_not_results	mouse	2016	is_a_only	0.7320	0.0259
synthetic_mock_not_results	mouse	2016	fixed_2025_is_a	0.7330	0.0260
synthetic_mock_not_results	mouse	2017	primary	0.7140	0.0242
synthetic_mock_not_results	mouse	2017	fixed_2025	0.7295	0.0268
synthetic_mock_not_results	mouse	2017	is_a_only	0.7060	0.0242
synthetic_mock_not_results	mouse	2017	fixed_2025_is_a	0.7187	0.0261
synthetic_mock_not_results	mouse	2018	primary	0.7369	0.0280
synthetic_mock_not_results	mouse	2018	fixed_2025	0.7241	0.0293
synthetic_mock_not_results	mouse	2018	is_a_only	0.7289	0.0280
synthetic_mock_not_results	mouse	2018	fixed_2025_is_a	0.7120	0.0291
synthetic_mock_not_results	mouse	2019	primary	0.7099	0.0379
synthetic_mock_not_results	mouse	2019	fixed_2025	0.7276	0.0334
synthetic_mock_not_results	mouse	2019	is_a_only	0.7019	0.0379
synthetic_mock_not_results	mouse	2019	fixed_2025_is_a	0.7164	0.0342
synthetic_mock_not_results	mouse	2020	primary	0.7338	0.0452
synthetic_mock_not_results	mouse	2020	fixed_2025	0.7384	0.0364
synthetic_mock_not_results	mouse	2020	is_a_only	0.7258	0.0452
synthetic_mock_not_results	mouse	2020	fixed_2025_is_a	0.7296	0.0378
synthetic_mock_not_results	mouse	2021	primary	0.7969	0.0442
synthetic_mock_not_results	mouse	2021	fixed_2025	0.7511	0.0361
synthetic_mock_not_results	mouse	2021	is_a_only	0.7889	0.0442
synthetic_mock_not_results	mouse	2021	fixed_2025_is_a	0.7450	0.0375
synthetic_mock_not_results	mouse	2022	primary	0.7802	0.0366
synthetic_mock_not_results	mouse	2022	fixed_2025	0.7593	0.0332
synthetic_mock_not_results	mouse	2022	is_a_only	0.7722	0.0366
synthetic_mock_not_results	mouse	2022	fixed_2025_is_a	0.7551	0.0338
synthetic_mock_not_results	mouse	2023	primary	0.7796	0.0292
synthetic_mock_not_results	mouse	2023	fixed_2025	0.7590	0.0296
synthetic_mock_not_results	mouse	2023	is_a_only	0.7716	0.0292
synthetic_mock_not_results	mouse	2023	fixed_2025_is_a	0.7548	0.0295
synthetic_mock_not_results	mouse	2024	primary	0.7954	0.0268
synthetic_mock_not_results	mouse	2024	fixed_2025	0.7504	0.0273
synthetic_mock_not_results	mouse	2024	is_a_only	0.7874	0.0268
synthetic_mock_not_results	mouse	2024	fixed_2025_is_a	0.7442	0.0269
synthetic_mock_not_results	mouse	2025	primary	0.7322	0.0254
synthetic_mock_not_results	mouse	2025	fixed_2025	0.7377	0.0264
synthetic_mock_not_results	mouse	2025	is_a_only	0.7242	0.0254
synthetic_mock_not_results	mouse	2025	fixed_2025_is_a	0.7287	0.0258
synthetic_mock_not_results	worm	2015	primary	0.6128	0.0255
synthetic_mock_not_results	worm	2015	fixed_2025	0.6180	0.0264
synthetic_mock_not_results	worm	2015	is_a_only	0.6048	0.0255
synthetic_mock_not_results	worm	2015	fixed_2025_is_a	0.6090	0.0259
synthetic_mock_not_results	worm	2016	primary	0.5893	0.0243
synthetic_mock_not_results	worm	2016	fixed_2025	0.6074	0.0272
synthetic_mock_not_results	worm	2016	is_a_only	0.5813	0.0243
synthetic_mock_not_results	worm	2016	fixed_2025_is_a	0.5961	0.0265
synthetic_mock_not_results	worm	2017	primary	0.5820	0.0302
synthetic_mock_not_results	worm	2017	fixed_2025	0.6041	0.0303
synthetic_mock_not_results	worm	2017	is_a_only	0.5740	0.0302
synthetic_mock_not_results	worm	2017	fixed_2025_is_a	0.5921	0.0303
synthetic_mock_not_results	worm	2018	primary	0.6297	0.0403
synthetic_mock_not_results	worm	2018	fixed_2025	0.6098	0.0344
synthetic_mock_not_results	worm	2018	is_a_only	0.6217	0.0403
synthetic_mock_not_results	worm	2018	fixed_2025_is_a	0.5991	0.0354
synthetic_mock_not_results	worm	2019	primary	0.6210	0.0458
synthetic_mock_not_results	worm	2019	fixed_2025	0.6217	0.0366
synthetic_mock_not_results	worm	2019	is_a_only	0.6130	0.0458
synthetic_mock_not_results	worm	2019	fixed_2025_is_a	0.6135	0.0382
synthetic_mock_not_results	worm	2020	primary	0.6479	0.0428
synthetic_mock_not_results	worm	2020	fixed_2025	0.6338	0.0356
synthetic_mock_not_results	worm	2020	is_a_only	0.6399	0.0428
synthetic_mock_not_results	worm	2020	fixed_2025_is_a	0.6283	0.0368
synthetic_mock_not_results	worm	2021	primary	0.6970	0.0345
synthetic_mock_not_results	worm	2021	fixed_2025	0.6401	0.0322
synthetic_mock_not_results	worm	2021	is_a_only	0.6890	0.0345
synthetic_mock_not_results	worm	2021	fixed_2025_is_a	0.6361	0.0326
synthetic_mock_not_results	worm	2022	primary	0.6563	0.0282
synthetic_mock_not_results	worm	2022	fixed_2025	0.6375	0.0289
synthetic_mock_not_results	worm	2022	is_a_only	0.6483	0.0282
synthetic_mock_not_results	worm	2022	fixed_2025_is_a	0.6330	0.0286
synthetic_mock_not_results	worm	2023	primary	0.6337	0.0266
synthetic_mock_not_results	worm	2023	fixed_2025	0.6274	0.0269
synthetic_mock_not_results	worm	2023	is_a_only	0.6257	0.0266
synthetic_mock_not_results	worm	2023	fixed_2025_is_a	0.6205	0.0265
synthetic_mock_not_results	worm	2024	primary	0.6403	0.0249
synthetic_mock_not_results	worm	2024	fixed_2025	0.6146	0.0264
synthetic_mock_not_results	worm	2024	is_a_only	0.6323	0.0249
synthetic_mock_not_results	worm	2024	fixed_2025_is_a	0.6049	0.0258
synthetic_mock_not_results	worm	2025	primary	0.5853	0.0251
synthetic_mock_not_results	worm	2025	fixed_2025	0.6056	0.0278
synthetic_mock_not_results	worm	2025	is_a_only	0.5773	0.0251
