data_status	track	organism	panel	dataset	year	model	n_folds	n_repeats	average_precision_mean	average_precision_sd	average_precision_ci95_low	average_precision_ci95_high	mcc_mean	balanced_accuracy_mean	lethal_f1_mean	fit_warnings
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	dt	5	5	0.5610	0.0155	0.5270	0.5950	0.2760	0.6118	0.4660	0
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	rf	5	5	0.6560	0.0118	0.6300	0.6820	0.3710	0.6622	0.5610	0
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	gb	5	5	0.6571	0.0136	0.6271	0.6871	0.3721	0.6628	0.5621	0
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	lr	5	5	0.6486	0.0155	0.6146	0.6826	0.3636	0.6583	0.5536	0
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	svm	5	5	0.6677	0.0118	0.6417	0.6937	0.3827	0.6684	0.5727	0
synthetic_mock_not_results	primary	fish	full	fish-2015	2015	nn	5	5	0.6819	0.0136	0.6519	0.7119	0.3969	0.6759	0.5869	1
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	dt	5	5	0.5830	0.0155	0.5490	0.6170	0.2980	0.6235	0.4880	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	rf	5	5	0.6780	0.0118	0.6520	0.7040	0.3930	0.6738	0.5830	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	gb	5	5	0.6791	0.0136	0.6491	0.7091	0.3941	0.6744	0.5841	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	lr	5	5	0.6706	0.0155	0.6366	0.7046	0.3856	0.6699	0.5756	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	svm	5	5	0.6897	0.0118	0.6637	0.7157	0.4047	0.6800	0.5947	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2015	2015	nn	5	5	0.7039	0.0136	0.6739	0.7339	0.4189	0.6876	0.6089	1
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	dt	5	5	0.5907	0.0118	0.5647	0.6167	0.3057	0.6276	0.4957	0
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	rf	5	5	0.6816	0.0136	0.6516	0.7116	0.3966	0.6758	0.5866	0
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	gb	5	5	0.6768	0.0155	0.6428	0.7108	0.3918	0.6732	0.5818	0
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	lr	5	5	0.6610	0.0118	0.6350	0.6870	0.3760	0.6648	0.5660	0
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	svm	5	5	0.6718	0.0136	0.6418	0.7018	0.3868	0.6706	0.5768	0
