metric	value
all16s_project_filter	Rumen_Gateway
unique_rumen_gateway_sh_ids_in_all16s	940
rumen_gateway_all16s_rows_with_valid_sh_id	1345
unique_sh_ids_with_original_fasta_id	672
unique_sh_ids_without_original_fasta_id	268
unique_sh_ids_with_qub_id	616
unique_sh_ids_without_qub_id	324
unique_sh_ids_missing_qub_id	56
unique_sh_ids_missing_original_fasta_id	0
overview_qub_sh_ids_not_found_in_rumen_gateway_all16s	0
total_original_fasta_ids_unique_by_sh	960
total_qub_ids_unique_by_sh	671
summary_status__OK	616
summary_status__MISSING_QUB_ID	56
summary_status__MISSING_FASTA_AND_QUB_ID	268
