sh_id	original_fasta_id_count	original_fasta_ids	qub_id_count	qub_ids	sequence_identifier_count	sequence_identifiers
SH_0007	2	DYG755_26587555_26587555; HOB488_50974888_50974888	2	QUB_0009; QUB_0169	2	QUB_63F_0009; QUB_27F_0169
SH_0008	4	DYG769_26587692_26587692; HOB487_50974871_50974871; JTQ749_65947495_65947495; JTQ750_65947501_65947501	2	QUB_0021; QUB_0168	2	QUB_63F_0021; QUB_27F_0168
SH_0043	3	ELX847_30138477_30138477; ELX848_30138484_30138484; ELX848C_30138484_30138484	1	QUB_0072	1	QUB_1387FC_0072
SH_0044	8	ELX843_30138439_30138439; ELX844_30138446_30138446; ELX844C_30138446_30138446; IWS844_59988442_59988442; JDP762_61777621_H11; JTQ773_65947730_65947730; JTQ774_65947747_65947747; KCX852_68358526_68358526	3	QUB_0070; QUB_0582; QUB_0663	3	QUB_1387FC_0070; QUB_27F_0582; QUB_27F_0663
SH_0045	3	ELX819_30138194_30138194; ELX820_30138200_30138200; IWS854_59988541_59988541	1	QUB_0056	1	QUB_63F_0056
SH_0046	5	DYG790_26587906_26587906; JTQ725_65947259_65947259; JTQ726_65947266_65947266; KCX849_68358496_68358496; KCX850_68358502_68358502	1	QUB_0041	1	QUB_63F_0041
SH_0047	2	ELX825_30138255_30138255; ELX826_30138262_30138262	1	QUB_0059	1	QUB_63F_0059
SH_0048	2	ELX813_30138132_30138132; ELX814_30138149_30138149	1	QUB_0053	1	QUB_63F_0053
SH_0049	2	ELX853_30138538_30138538; ELX854_30138545_30138545	1	QUB_0075	1	QUB_63F_0075
SH_0050	4	ELX807_30138071_30138071; ELX808_30138088_30138088; HOB513_50975137_50975137; IWS783_59987834_59987834	3	QUB_0050; QUB_0170; QUB_0537	3	QUB_63F_0050; QUB_27F_0170; QUB_27F_0537
SH_0051	2	ELX849_30138491_30138491; ELX850_30138507_30138507	1	QUB_0073	1	QUB_63F_0073
SH_0052	2	ELX845_30138453_30138453; ELX846_30138460_30138460	1	QUB_0071	1	QUB_63F_0071
SH_0053	2	ELX839_30138392_30138392; ELX840_30138408_30138408	1	QUB_0068	1	QUB_63F_0068
SH_0054	4	ELX805_30138057_30138057; ELX806_30138064_30138064; ELX806C_30138064_30138064; IWS853_59988534_59988534	2	QUB_0049; QUB_0591	2	QUB_1387FC_0049; QUB_27F_0591
SH_0055	4	ELX841_30138415_30138415; ELX842_30138422_30138422; IWS780_59987803_59987803; IWS843_59988435_59988435	2	QUB_0069; QUB_0534	2	QUB_63F_0069; QUB_27F_0534
SH_0056	2	ELX809_30138095_30138095; ELX810_30138101_30138101	1	QUB_0051	1	QUB_63F_0051
SH_0057	2	ELX851_30138514_30138514; ELX852_30138521_30138521	1	QUB_0074	1	QUB_63F_0074
SH_0058	2	ELX811_30138118_30138118; ELX812_30138125_30138125	1	QUB_0052	1	QUB_63F_0052
SH_0059	3	ELX829_30138293_30138293; ELX830_30138309_30138309; IPO320_58123202_58123202	2	QUB_0062; QUB_0172	2	QUB_63F_0062; QUB_27F_0172
SH_0060	2	ELX815_30138156_30138156; ELX816_30138163_30138163	1	QUB_0054	1	QUB_63F_0054
SH_0061	2	ELX821_30138217_30138217; ELX822_30138224_30138224	1	QUB_0057	1	QUB_63F_0057
SH_0062	1	DYG773_26587739_26587739	1	QUB_0025	1	QUB_63F_0025
SH_0063	2	ELX837_30138378_30138378; ELX838_30138385_30138385	1	QUB_0067	1	QUB_63F_0067
SH_0064	2	ELX823_30138231_30138231; ELX824_30138248_30138248	1	QUB_0058	1	QUB_63F_0058
SH_0065	1	GBF587_40875874_40875874	1	QUB_0103	1	QUB_63F_0103
SH_0066	2	ELX857_30138576_30138576; ELX858_30138583_30138583	1	QUB_0076	1	QUB_63F_0076
SH_0067	2	JTQ722_65947228_65947228; JTQ723_65947235_65947235	0		0	
SH_0067_M7	1	ELX827_30138279_30138279	1	QUB_0060	1	QUB_63F_0060
SH_0068	1	GBF600_40876000_40876000	1	QUB_0114	1	QUB_63F_0114
SH_0069_J9	1	GEC604_41626048_41626048	1	QUB_0138	1	QUB_63F_0138
SH_0070	1	GBF588_40875881_40875881	1	QUB_0104	1	QUB_63F_0104
SH_0071.1.1	1	IPO319_58123196_58123196	1	QUB_0171	1	QUB_27F_0171
SH_0071.1.2	2	IPO324_58123240_58123240; IPO334_58123349_58123349	0		0	
SH_0071.2.2	3	IPO335_58123356_58123356; IVZ014_59790144_59790144; IWS781_59987810_59987810	1	QUB_0535	1	QUB_27F_0535
SH_0071.3	1	IPO338_58123387_58123387	1	QUB_0183	1	QUB_27F_0183
SH_0071_M13	1	GLE319_43463191_43463191	1	QUB_0158	1	QUB_63F_0158
SH_0072	1	GBF616_40876161_40876161	1	QUB_0127	1	QUB_63F_0127
SH_0073	1	DYG793_26587937_26587937	1	QUB_0043	1	QUB_63F_0043
SH_0074	1	DYG779_26587791_26587791	1	QUB_0031	1	QUB_63F_0031
SH_0075_J4	1	GEC615_41626154_41626154	1	QUB_0143	1	QUB_63F_0143
SH_0076	3	DYG756_26587562_26587562; IPO323_58123233_58123233; IWS765_59987650_59987650	3	QUB_0010; QUB_0174; QUB_0520	3	QUB_63F_0010; QUB_27F_0174; QUB_27F_0520
SH_0077	1	GBF611_40876116_40876116	1	QUB_0124	1	QUB_63F_0124
SH_0078	2	ELX859_30138590_30138590; ELX860_30138606_30138606	1	QUB_0077	1	QUB_63F_0077
SH_0079	1	DYG754_26587548_26587548	1	QUB_0008	1	QUB_63F_0008
SH_0080	3	DYG781_26587814_26587814; IPO322_58123226_58123226; IWS766_59987667_59987667	3	QUB_0033; QUB_0173; QUB_0521	3	QUB_63F_0033; QUB_27F_0173; QUB_27F_0521
SH_0082	1	DYG789_26587890_26587890	1	QUB_0040	1	QUB_63F_0040
SH_0083	1	GBF602_40876024_40876024	1	QUB_0116	1	QUB_63F_0116
SH_0084	1	GBF604_40876048_40876048	1	QUB_0118	1	QUB_63F_0118
SH_0085_M9	1	ELX832_30138323_30138323	1	QUB_0064	1	QUB_63F_0064
SH_0086_M19	1	GLE325_43463252_43463252	1	QUB_0163	1	QUB_63F_0163
SH_0087	1	DYG758_26587586_26587586	1	QUB_0012	1	QUB_63F_0012
SH_0088	1	DYG759_26587593_26587593	1	QUB_0013	1	QUB_63F_0013
SH_0089	1	DYG751_26587517_26587517	1	QUB_0005	1	QUB_63F_0005
SH_0090	3	DYG780_26587807_26587807; IPO327_58123271_58123271; IWS767_59987674_59987674	3	QUB_0032; QUB_0177; QUB_0522	3	QUB_63F_0032; QUB_27F_0177; QUB_27F_0522
SH_0091	3	DYG770_26587708_26587708; IPO326_58123264_58123264; IWS763_59987636_59987636	3	QUB_0022; QUB_0176; QUB_0519	3	QUB_63F_0022; QUB_27F_0176; QUB_27F_0519
